train_mean,test_mean,cost_mean,train_sd,test_sd,cost_sd
1.0,1.0,0.6934962716917102,0.0,0.0,1.1102230246251565e-16
1.0,1.0,0.7966395896117071,0.0,0.0,0.0
1.0,1.0,0.6334159808042763,0.0,0.0,0.0
1.0,1.0,0.694974592068889,0.0,0.0,0.0
0.9800000000000001,0.9600000000000002,0.7365935890917507,0.006666666666666653,2.220446049250313e-16,0.013883085438416043
0.9960000000000001,1.0,0.6733808652350072,0.006110100926607775,0.0,0.045190458044027625
0.9666666666666666,0.9359999999999999,0.6967456254727711,0.00894427190999919,0.03666060555964671,0.03491923659222945
0.9333333333333333,0.8800000000000001,0.7698802460818841,0.0,1.1102230246251565e-16,1.1102230246251565e-16
0.932,0.9359999999999999,0.7401749015184658,0.0249087222563592,0.03666060555964671,0.024163019894657856
0.892,0.868,0.7936980856000602,0.026964997888208893,0.036,0.03172339978645628
0.9173333333333333,0.8360000000000001,0.7966963660553104,0.02444040370643114,0.045431266766402176,0.03825550547092791
0.8946666666666665,0.8400000000000001,0.788370583459959,0.021039645117412655,1.1102230246251565e-16,0.01514509729958243
0.76,0.8160000000000001,0.8623253803044244,0.03723797345005048,0.03199999999999999,0.019828011460416694
0.8186666666666665,0.72,0.8968846609633913,0.016000000000000014,0.0,0.0233787271002833
0.8866666666666667,0.8,0.8139509126439759,0.006666666666666653,0.0,0.005023729286203871
0.6226666666666667,0.6359999999999999,1.0447384903451136,0.07472616676907763,0.15538339679644028,0.09460303181214967
0.784,0.8119999999999999,0.8834761904146147,0.05650565360111224,0.08399999999999998,0.011152081801962628
0.7666666666666666,0.884,0.8445832064998127,0.04011095721731022,0.037735924528226404,0.03437367998183469
0.7493333333333334,0.6799999999999999,0.9658848437260579,0.06819579654690358,0.035777087639996645,0.030089972319834776
0.7213333333333335,0.44800000000000006,0.9516339267387526,0.026297443897754687,0.09600000000000003,0.03794977434254082
0.6986666666666668,0.6279999999999999,0.9356437506684795,0.01222020185321558,0.03600000000000003,0.02511151665754229
0.6413333333333333,0.5999999999999999,1.1091233409152352,0.041505019776729025,0.14966629547095764,0.0561025883783875
0.6479999999999999,0.41600000000000004,1.093832673787414,0.016000000000000014,0.03199999999999998,0.0549704036455196
0.7026666666666668,0.6439999999999999,0.9716171706993816,0.05874237539176184,0.07683749084919418,0.046894471593497626
0.6706666666666667,0.6639999999999999,0.9152965267303415,0.08327731450467835,0.13047605144240074,0.04023203694134175
0.7026666666666668,0.5640000000000001,1.1035642694072005,0.07400900846068222,0.027999999999999997,0.07250082970419539
0.7066666666666668,0.45199999999999996,1.074145925301882,0.07797435475847171,0.084,0.20965604019777864
0.484,0.348,1.2338885279717418,0.01691810338726603,0.05670978751503129,0.1692574057580903
0.648,0.5999999999999999,0.9691502932104423,0.012220201853215582,1.1102230246251565e-16,0.007025528948623586
0.6346666666666667,0.5519999999999999,1.126226958298495,0.07185169912163991,0.05878775382679627,0.07181921813800059
0.5893333333333333,0.5279999999999999,1.0890472349986282,0.04873511168665883,0.016000000000000014,0.13433410487834274
0.5333333333333333,0.4800000000000001,1.0646611243710038,0.0,1.1102230246251565e-16,2.220446049250313e-16
0.6106666666666667,0.44000000000000006,1.044465216754255,0.007999999999999985,5.551115123125783e-17,0.004773491426378152
0.5333333333333333,0.5199999999999999,1.1744931757254518,0.0,1.1102230246251565e-16,0.0
0.5373333333333334,0.43200000000000005,1.1785187895596487,0.008537498983243783,0.024000000000000004,0.0071673814072532255
