train_mean,test_mean,cost_mean,train_sd,test_sd,cost_sd
1.0,1.0,0.7429668710311832,0.0,0.0,0.0
1.0,1.0,0.6926506026168068,0.0,0.0,0.0
1.0,0.96,0.8174521885977167,0.0,0.0,0.0
1.0,1.0,0.6725913285265142,0.0,0.0,0.0
0.9688888888888889,0.9733333333333333,0.6522647324050606,0.01662958838566198,0.018856180831641284,0.004647027695117505
0.9866666666666667,0.96,0.6486610134419952,0.0,0.0,0.0
0.9466666666666667,0.92,0.7444334668626654,0.0,0.0,1.1102230246251565e-16
0.92,0.92,0.8067299756190205,0.0,0.0,0.0
0.8266666666666667,0.6533333333333333,0.7479342004544852,0.08911083402561522,0.2124983660067897,0.03662314484263651
0.8666666666666667,0.7999999999999999,0.8855744028200615,0.010886621079036327,0.032659863237109024,0.03542257126160656
0.8266666666666667,0.84,0.83232481758745,0.018856180831641232,0.0,0.011663318860579775
0.7866666666666666,0.68,0.9865976984238887,0.0,0.0,0.0
0.8000000000000002,0.7600000000000001,0.9417544841602518,1.1102230246251565e-16,1.1102230246251565e-16,0.0
0.7644444444444444,0.6933333333333334,0.9181541546936295,0.043997755273829646,0.03771236166328251,0.038889749644446206
0.6755555555555555,0.6266666666666667,0.9652894769821946,0.09064923579720507,0.10498677165349082,0.07065281527669001
0.6622222222222223,0.6133333333333334,0.9933197433356525,0.012570787221094207,0.09428090415820638,0.07098229410002921
